"Xmol","SFR"
0.0001210175,1
2.3262039e-05,0
1.9713506e-05,0
1.7206953e-05,0
5.1687543e-05,0
3.644979e-05,0
3.0326594e-05,0
1.9965119e-05,0
1.9423277e-05,0
2.4267049e-05,0
1.7150586e-05,0
1.9637212e-05,0
1.8590448e-05,0
2.2944909e-05,0
1.3973581e-05,0
1.5113883e-05,0
1.2205065e-05,0
1.9095904e-05,0
2.6542181e-05,0
1.7130976e-05,0
2.2732394e-05,0
1.8203632e-05,0
1.7236822e-05,0
2.2653681e-05,0
1.7707558e-05,0
2.0592562e-05,0
1.676347e-05,0
0.00042860737,1
3.0725422e-05,0
2.2861075e-05,0
7.6200779e-05,0
1.9297976e-05,0
4.1517073e-05,0
3.533791e-05,0
1.2767344e-05,0
2.1899694e-05,0
1.9623809e-05,0
2.7798004e-05,0
2.2616326e-05,0
2.2177873e-05,0
1.9391719e-05,0
1.7103708e-05,0
2.9617673e-05,0
1.9704655e-05,0
1.6477065e-05,0
2.4078484e-05,0
1.6559266e-05,0
2.3084438e-05,0
1.2555404e-05,0
2.240782e-05,0
2.6635647e-05,0
1.5553792e-05,0
1.8803251e-05,0
1.9343006e-05,0
1.4331105e-05,0
1.4946612e-05,0
1.4478232e-05,0
1.6448317e-05,0
1.7228689e-05,0
1.3824948e-05,0
1.9467091e-05,0
1.0238713e-05,0
1.7568846e-05,0
1.1696141e-05,0
1.7622224e-05,0
1.8616306e-05,0
1.3123737e-05,0
2.438007e-05,0
4.1081253e-05,0
0.00081285046,1
4.9074998e-05,0
0.00017355235,1
2.3635269e-05,0
4.7055565e-05,0
2.4106368e-05,0
1.5853032e-05,0
2.1474173e-05,0
1.9947304e-05,0
1.4513504e-05,0
2.5535857e-05,0
1.3229448e-05,0
3.0528684e-05,0
2.7523162e-05,0
2.4582177e-05,0
2.9383883e-05,0
2.7922673e-05,0
1.6492748e-05,0
2.1531871e-05,0
3.5491728e-05,0
1.5199201e-05,0
2.1099671e-05,0
2.726451e-05,0
2.5830042e-05,0
1.6238701e-05,0
1.6270465e-05,0
2.2301843e-05,0
1.4217254e-05,0
1.7178632e-05,0
2.1252891e-05,0
1.7286981e-05,0
1.9169231e-05,0
1.4379236e-05,0
2.2057505e-05,0
1.6637085e-05,0
1.5586242e-05,0
1.8597177e-05,0
1.3980109e-05,0
2.3799972e-05,0
1.792307e-05,0
1.1807294e-05,0
2.077442e-05,0
1.2923867e-05,0
2.0048096e-05,0
1.6425279e-05,0
1.7266159e-05,0
1.9617472e-05,0
2.1510067e-05,0
1.454884e-05,0
1.4756216e-05,0
1.2504446e-05,0
2.0990993e-05,0
2.2881771e-05,0
0.0012616901,1
0.00028232816,1
3.8250246e-05,0
2.2569366e-05,0
0.00012457129,1
3.3635876e-05,0
0.00039334176,1
2.8191672e-05,0
7.9384233e-05,1
2.2312075e-05,0
1.5740171e-05,0
2.9159917e-05,0
3.058731e-05,0
2.6769699e-05,0
2.5308453e-05,0
2.4249972e-05,0
2.971916e-05,0
1.8329625e-05,0
1.8761477e-05,0
2.8708418e-05,0
2.4662721e-05,0
1.8188258e-05,0
1.8086968e-05,0
1.7381326e-05,0
1.6924545e-05,0
4.1821498e-05,0
3.5471696e-05,0
1.2509668e-05,0
2.7521001e-05,0
1.5827247e-05,0
2.2659415e-05,0
1.8038227e-05,0
2.0419878e-05,0
1.7420287e-05,0
2.4558496e-05,0
2.1891723e-05,0
1.6751097e-05,0
1.4441133e-05,0
1.2423469e-05,0
1.978269e-05,0
2.227364e-05,0
1.7856155e-05,0
1.600188e-05,0
1.9985972e-05,0
1.4987938e-05,0
2.3528502e-05,0
1.6561949e-05,0
1.6808698e-05,0
2.7663859e-05,0
1.1915741e-05,0
2.0278969e-05,0
1.5220626e-05,0
2.2402994e-05,0
1.5590236e-05,0
2.0730018e-05,0
1.7570727e-05,0
1.7144162e-05,0
1.6831261e-05,0
9.8928178e-06,0
1.8341357e-05,0
2.205435e-05,0
1.164905e-05,0
1.5841637e-05,0
1.6091619e-05,0
1.5285649e-05,0
1.6881627e-05,0
1.6101828e-05,0
1.3233098e-05,0
1.2008697e-05,0
1.2878009e-05,0
1.2690642e-05,0
1.8544716e-05,0
1.6954463e-05,0
0.0030692397,1
0.00089276946,1
3.2662972e-05,0
2.7394205e-05,0
2.3394463e-05,0
7.1317978e-05,1
0.00050153231,1
4.0111801e-05,0
0.00076726924,1
0.00021277654,1
3.4474812e-05,0
2.4271875e-05,0
2.8959546e-05,0
3.0469035e-05,0
4.1178049e-05,0
3.5346142e-05,0
2.8445626e-05,0
1.9655793e-05,0
3.2576386e-05,0
3.158384e-05,0
3.1212868e-05,0
2.1213297e-05,0
4.2538264e-05,0
1.9145402e-05,0
1.3021265e-05,0
